last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Harper, Bryce,2016,.373,7.3,36.1,23.2,50.7,
Martin, Leonys,2016,.304,5.0,31.3,30.0,65.3,
Abreu, Jose,2016,.353,7.9,39.4,23.8,59.3,
Suarez, Eugenio,2016,.317,6.3,29.1,24.9,59.2,
Polanco, Gregory,2016,.322,6.0,39.8,21.6,53.5,
Schoop, Jonathan,2016,.298,6.7,34.7,28.9,66.2,
Arenado, Nolan,2016,.362,9.0,39.6,18.9,60.2,
Gennett, Scooter,2016,.315,3.9,24.5,22.7,61.6,
Lamb, Jake,2016,.332,11.5,43.4,29.0,54.0,
Myers, Wil,2016,.336,7.0,39.2,21.8,58.0,
Piscotty, Stephen,2016,.342,8.6,37.8,25.8,62.4,
Seager, Kyle,2016,.359,9.0,41.3,18.6,55.0,
Carpenter, Matt,2016,.378,11.3,42.0,19.2,55.8,
Dickerson, Corey,2016,.292,11.1,38.4,29.1,62.4,
Dozier, Brian,2016,.339,8.3,36.2,23.4,59.3,
Iglesias, Jose,2016,.302,0.7,20.8,10.5,60.4,
Hechavarria, Adeiny,2016,.282,1.1,31.4,16.2,60.5,
Bryant, Kris,2016,.385,11.7,38.9,28.1,59.8,
Machado, Manny,2016,.343,9.3,43.2,22.3,59.9,
Realmuto, J.T.,2016,.343,3.9,35.2,19.6,63.3,
Yelich, Christian,2016,.376,9.7,49.9,24.4,55.1,
Bogaerts, Xander,2016,.356,5.3,32.7,20.0,59.1,
Calhoun, Kole,2016,.348,6.2,40.5,25.3,61.8,
Duvall, Adam,2016,.296,11.9,40.8,27.7,64.0,
Eaton, Adam,2016,.358,3.1,36.0,17.4,60.8,
Lindor, Francisco,2016,.357,4.1,33.5,17.2,59.6,
Odor, Rougned,2016,.296,7.8,37.6,23.8,61.4,
Cuthbert, Cheslor,2016,.318,2.4,36.9,23.2,62.7,
Franco, Maikel,2016,.306,6.7,40.5,24.2,61.1,
Bradley Jr., Jackie,2016,.349,8.6,39.3,26.7,59.7,
Betts, Mookie,2016,.363,5.2,39.9,14.2,60.8,
Panik, Joe,2016,.314,4.5,26.8,11.2,56.1,
Pillar, Kevin,2016,.301,3.0,30.2,18.7,64.7,
Ramirez, Jose,2016,.362,3.0,32.9,12.7,57.0,
Russell, Addison,2016,.321,9.3,31.6,29.3,64.0,
Seager, Corey,2016,.365,8.3,44.0,23.3,60.8,
Mazara, Nomar,2016,.320,6.8,35.0,20.4,58.1,
Garcia, Adonis,2016,.311,5.2,34.9,21.2,63.2,
Correa, Carlos,2016,.361,7.7,43.5,24.3,59.8,
Tomas, Yasmany,2016,.313,10.6,42.0,30.6,71.2,
Pujols, Albert,2019,.305,5.8,36.6,18.2,56.3,
Cabrera, Miguel,2019,.346,6.4,44.7,24.4,62.7,
Choo, Shin-Soo,2019,.371,8.8,49.0,29.5,59.2,
